radiant_team,dire_team,radiant_win
"106,20,114,53,62","80,64,97,14,12",false
"75,12,72,71,55","39,135,7,119,67",true
"28,41,5,53,98","9,129,35,136,11",true
"17,102,37,21,93","104,50,75,12,40",true
"42,121,93,111,56","102,105,113,6,5",true
"36,41,64,71,53","42,70,30,39,128",false
"135,56,71,41,22","28,48,20,85,15",false
"64,28,14,86,1","29,94,71,42,27",true
"25,22,42,1,7","104,67,74,101,87",true
"57,50,33,93,2","36,30,28,67,64",false
"16,98,94,138,60","71,18,15,74,5",true
"53,95,8,18,93","48,41,99,7,34",false
"70,80,114,25,53","50,81,64,8,17",true
"123,49,33,35,48","128,42,6,36,74",true
"42,84,66,76,78","14,104,39,80,11",false
"84,80,41,68,28","35,23,62,63,26",true
"7,86,88,138,83","6,40,5,28,23",true
"106,42,112,94,84","1,75,104,21,56",false
"31,41,44,36,98","88,22,67,21,11",false
"75,37,60,22,6","41,16,40,47,110",true
"36,72,26,7,44","97,25,12,31,19",true
"42,100,13,75,12","79,14,70,71,18",true
"114,14,42,121,30","84,8,2,46,31",true
"12,36,84,9,71","63,25,67,121,49",true
"44,121,2,84,47","34,74,114,16,59",true
"35,71,13,2,14","65,121,36,70,68",false
